Process Count,Average Waiting Time,Average Turnaround Time,Average Response Time
1,0.0,9.0,0.0
2,5.3333335,11.666667,5.3333335
3,11.0,16.5,11.0
4,22.6,30.5,22.6
5,40.133335,47.866665,40.133335
6,61.04762,68.666664,61.04762
7,85.32143,93.42857,85.32143
8,114.47222,123.0,114.47222
9,150.53334,158.88889,150.53334
10,189.58182,198.25455,189.58182
11,230.9697,239.0,230.9697
12,271.44873,279.46155,271.44873
13,316.23077,324.37363,316.23077
14,365.22858,373.21906,365.22858
15,417.44168,425.275,417.44168
16,470.3897,478.43384,470.3897
17,530.05884,538.06537,530.05884
18,594.6959,602.7193,594.6959
19,660.7526,668.6842,660.7526
20,729.78094,737.6762,729.78094
