Process Count,Average Waiting Time,Average Turnaround Time,Average Response Time
1,0.0,3.0,0.0
2,0.33333334,6.3333335,0.33333334
3,15.333333,24.666666,15.333333
4,32.7,42.3,32.7
5,54.6,64.13333,54.6
6,81.333336,91.28571,81.333336
7,113.39286,122.89286,113.39286
8,144.16667,152.83333,144.16667
9,174.53334,183.08888,174.53334
10,212.47273,221.4,212.47273
11,254.4697,263.31818,254.4697
12,303.29486,312.30768,303.29486
13,357.67032,367.011,357.67032
14,418.2857,427.75238,418.2857
15,485.0,494.46667,485.0
16,555.2573,564.7353,555.2573
17,627.3791,636.71893,627.3791
18,705.2456,714.7836,705.2456
19,789.53156,799.03687,789.53156
20,876.14764,885.61426,876.14764
21,966.7749,976.2641,966.7749
22,1061.5574,1071.0712,1061.5574
23,1158.424,1167.7319,1158.424
24,1256.2134,1265.5133,1256.2134
25,1358.8369,1368.12,1358.8369
26,1463.5156,1472.6923,1463.5156
27,1570.4841,1579.5793,1570.4841
28,1678.3374,1687.2808,1678.3374
29,1788.8115,1797.7655,1788.8115
30,1904.2021,1913.1505,1904.2021
31,2022.9072,2031.8024,2022.9072
32,2144.18,2153.051,2144.18
33,2269.6416,2278.4832,2269.6416
34,2398.5496,2407.4016,2398.5496
35,2532.0095,2540.854,2532.0095
36,2668.1292,2676.9038,2668.1292
37,2807.8918,2816.6814,2807.8918
38,2949.7544,2958.444,2949.7544
39,3094.5244,3103.1987,3094.5244
40,3242.5012,3251.1682,3242.5012
41,3395.1533,3403.8584,3395.1533
42,3552.331,3561.0066,3552.331
43,3713.4736,3722.1565,3713.4736
44,3877.2363,3885.8767,3877.2363
45,4044.5537,4053.1565,4044.5537
46,4214.2153,4222.8076,4214.2153
47,4389.5566,4398.195,4389.5566
48,4569.845,4578.4805,4569.845
49,4755.021,4763.694,4755.021
50,4944.142,4952.811,4944.142
