Process Count,Average Waiting Time,Average Turnaround Time,Average Response Time
1,0.0,9.0,0.0
2,5.3333335,11.666667,5.3333335
3,9.833333,15.333333,9.833333
4,23.5,31.4,23.5
5,37.333332,45.066666,37.333332
6,52.95238,60.57143,52.95238
7,86.82143,94.92857,86.82143
8,120.888885,129.41667,120.888885
9,152.11111,160.46666,152.11111
10,193.03636,201.70909,193.03636
11,216.25757,224.28787,216.25757
12,254.25641,262.26923,254.25641
13,306.45056,314.5934,306.45056
14,358.8381,366.82858,358.8381
15,401.44168,409.275,401.44168
16,476.95587,485.0,476.95587
17,535.3137,543.32025,535.3137
18,602.1696,610.193,602.1696
19,666.4105,674.3421,666.4105
20,734.28094,742.1762,734.28094
