Process Count,Average Waiting Time,Average Turnaround Time,Average Response Time
1,0.0,3.0,0.0
2,0.33333334,6.3333335,0.33333334
3,14.333333,23.666666,11.166667
4,36.1,45.7,29.3
5,59.933334,69.46667,49.8
6,92.809525,102.7619,75.666664
7,123.57143,133.07143,102.32143
8,145.05556,153.72223,121.77778
9,179.55556,188.11111,153.33333
10,230.36363,239.29091,196.38182
11,264.62122,273.4697,223.68182
12,320.64102,329.65384,266.41025
13,391.06595,400.4066,325.03296
14,462.37143,471.8381,383.7619
15,529.075,538.5417,438.36667
16,602.9044,612.3823,500.5147
17,680.6013,689.94116,564.6405
18,780.5497,790.0877,650.23395
19,858.8421,868.34735,719.15265
20,942.2857,951.7524,791.8571
21,1038.5065,1047.9957,866.1558
22,1136.3083,1145.8221,942.3439
23,1206.8225,1216.1305,1003.8587
24,1307.7533,1317.0533,1090.56
25,1413.8,1423.0831,1183.7661
26,1504.8319,1514.0085,1264.0741
27,1604.7222,1613.8175,1352.8889
28,1694.0344,1702.9778,1430.0912
29,1823.8276,1832.7816,1543.1356
30,1963.3354,1972.2838,1662.1592
31,2078.3105,2087.2056,1765.5021
32,2203.3694,2212.2405,1870.0474
33,2340.6187,2349.46,1986.8752
34,2473.5916,2482.4436,2095.5647
35,2611.9697,2620.8142,2210.8586
36,2738.9429,2747.7178,2320.5645
37,2899.4224,2908.212,2457.138
38,3002.556,3011.2456,2549.8164
39,3147.3347,3156.009,2672.364
40,3313.5208,3322.1877,2816.505
41,3499.4473,3508.152,2974.777
42,3663.042,3671.7175,3115.5315
43,3834.6616,3843.3447,3260.261
44,3977.6294,3986.2698,3383.9556
45,4156.201,4164.8037,3543.6667
46,4322.513,4331.1055,3684.5383
47,4548.82,4557.4585,3886.8281
48,4747.202,4755.8374,4061.1055
49,4968.057,4976.73,4247.153
50,5177.193,5185.862,4424.182
